,Title,Link,Authors,Venue,Year,Study Period (per user),Study Period (per user) - DAYS,# Sessions (per user),# Sessions (per user) - INTEGER,Session Length (per session),Session Length (per session) - MINUTES,"Total average est. Minutes per person. INTEGER. If range, take midpoint to estimate.",# Participants (with full data),# Participants (with full data) - INTEGER,HRI Type (detailed),HRI Type,Domain (detailed),Domain,Subdomain,Robot Used,Primary Robot Feature(s),Country,Location (detailed),Location,Age (detailed),Age group (detailed),Age group,Qualitative Data (Y/N),"Quantitative (separable conditions, Y/N)","Quantitative (by user type, Y/N)",Data Collection for Machine Learning (Y/N),Statistical Significances Found (detailed),Statistical Significances Found (Y/N),Conditions (detailed),Conditions (Y/N),Behavioral Variation (detailed),Behavioral Variation (Y/N),Adaptation + Personalization (detailed),Adaptation + Personalization (Y/N),User modeling by robot (detailed),User modeling by robot (Y/N),WoZ / Autonomous / Hybrid (detailed),WoZ / Autonomous / Hybrid,Main results,Measure Engag.? (with robot) - detailed,"Measure Engag.? (with robot, Y/N)",Engagement Measures + Results (detailed),Engagement Measures Type,Novelty Effect measures or mentioned? (Y/N),Novelty Comments/Methods,Incentivization (detailed),Comments
NS,Comparing Models of Disengagement in Individual and Group Interactions,https://dl.acm.org/doi/pdf/10.1145/2696454.2696466?casa_token=YVv0-627mckAAAAA:KvVotn5adWTO6luFRNvb2JWpGOotcatYZQxKJOBM4LCbKdAMXX0yMQfJXFlpmDlFynkbL6dDE3Hc,"Iolanda Leite∗ , Marissa McCoy† , Daniel Ullman∗ , Nicole Salomons∗ , Brian Scassellati∗",HRI,2015,3 weeks,21,3,3,3 sessions (15 minutes),10,45,40,40,Diadic and Group,Mixed,Education,Education,disengagement classification,Keepon,,USA,schools,School,6-8,Children,Children (3-12),N,N,N,Y,NA,N,individual vs groups of children,Y,,Y,,N,some features atomatically extracted,Y,autonomous,Autonomous,Our results show that a model trained with group data generalizes better to individual participants than the other way around.,no,N,,None,,,,
NS,Face the Music and Glance: How Nonverbal Behaviour Aids Human Robot Relationships Based in Music,https://dl.acm.org/doi/pdf/10.1145/2696454.2696477?casa_token=G2NQdhGnbI8AAAAA:ofXfQMrY31rCLm0M2aaQDOLhzbGiheHcCtP0vGd7UNBV5NBgzW4ZnGWIUHLVnLWYfWW8mPswiO2k,"Louis McCallum, Peter W McOwan",HRI,2015,6 week,42,6,6,"once per week - min 20 minutes, max 40",30,180,10,10,Diadic,Diadic,Education / Entertainment,Entertainment/Game-Play,open ended musical activity,Mortimer,,UK,lab?,Lab,22-54,Adults,Adults (18+),N,Y,N,N,yes,Y,nonverbal vs not having nonverbal behaviors,Y,,Y,,Y,no,N,autonomous,Autonomous,"results demonstrate those subjected to nonverbal behaviours not only spent more time voluntarily with the robot, but actually increased the time they spent as the trial progressed. Further, that they interrupted the robot less during social interactions and played for longer uninterrupted.",yes,Y,"results demonstrate those subjected to nonverbal behaviours not only spent more time voluntarily with the robot,","Time-Based (time to respond, length of interactions)",,,,
NS,Measuring the Efficacy of Robots in Autism Therapy: How Informative are Standard HRI Metrics?,https://dl.acm.org/doi/pdf/10.1145/2696454.2696480?casa_token=GhTJ7b-XyuwAAAAA:eiAsSz2S_B8rhaO7kwCB4ZkW-PJyySMkjNBCd70hkCyVviy5ay6mG2tQAWBir6yAdiw0lkj3b5Yb,"Begum, M., Serna, R. W., Kontak, D., Allspaw, J., Kuczynski, J., Yanco, H. A., & Suarez, J.",HRI,2015,6-10 days,8,18,18,"10-24 sessions, 2-4 mins",3,54,3,3,Triadic,Triadic,Education,ASD,basic social greetings,NAO,,USA,spec ed school,School,3-6,Children,Children (3-12),Y,Y,N,N,no,N,no,N,,unclear,,N,no,N,WOZ,WoZ,"feasibility study, shows that the human-robot interaction (HRI) metrics commonly used in this research domain might not be sufficient",no,N,,None,,,,
RR,"“Adventures of Harvey” – Use, Acceptance of and
Relationship Building with a Social Robot in a Domestic
Environment ",https://eudl.eu/pdf/10.1007/978-3-642-19385-9_10,"Tineke Klamer, Somaya Ben Allouch, and Dirk Heylen",Human-Robot Personal Relationships (HRPR),2011,10 days,10,40 (4 sessions per day),40,<1 minute,1,40,3,3,Diadic,Diadic,Health & Wellness,Mental/Cognitive Health,Conversational,Nabaztag,Conversational + minimalist design and interactions,UK,Home,Home,50-65,Seniors,Adults (18+),Y,N,N,N,no,N,none,N,yes; randomized prompts,Y,no,N,no,N,autonomous,Autonomous,"The conversational prompts given by the robot was enough to encourage a ""relationship"" with its users.",no,N,"see ""Main Results""",None,N,,monetary compensation for the energy cost of having the robot in the home,
RR,Long-term evaluation of a social robot in real homes,https://www.researchgate.net/profile/Maartje-De-Graaf-2/publication/312654034_Long-term_evaluation_of_a_social_robot_in_real_homes/links/5a030f990f7e9b3d401f6759/Long-term-evaluation-of-a-social-robot-in-real-homes.pdf,"De Graaf, M. M., Ben Allouch, S., & van Dijk, J. A",Interaction Studies,2016,1-5 months,unknown,unknown,unknown,unknown,unknown,unknown,160,102,Diadic / Family,Mixed,Health & Wellness,Mental/Cognitive Health,Conversational,Karotz,"Robots were installed with conversational, daily news/weather, radio, personalized reminder features.",UK,Home,Home,8-77,Children and Adults (Families),Mixed,Y,Y,Y,N,yes; tables provided,Y,"yes; participants are divided into their ""time period"" for which they stopped using the system (T1 expectation - T6 identification)",Y,,,,,no,N,autonomous,Autonomous,User perceptions of the system depend on their willingness to continue using the system.,yes,Y,utilized scales of media influence (trust and cost),Surveys/Self-Reported,,,,"Examines the ""adoption"" process of similar tech (e.g., the expectation phase, encounter, adoption, adaptation, integration, identification phases)"
RR,"Effectiveness of a Social Robot, “Paro,” in a VA Long-Term Care Setting",https://www.researchgate.net/profile/Maartje-De-Graaf-2/publication/312654034_Long-term_evaluation_of_a_social_robot_in_real_homes/links/5a030f990f7e9b3d401f6759/Long-term-evaluation-of-a-social-robot-in-real-homes.pdf,"Lane, G. W., Noronha, D., Rivera, A., Craig, K., Yee, C., Mills, B., & Villanueva, E.",Psychological Services,2016,19 months,570,daily use,daily use,daily use / not reported,unknown,unknown,23,23,Diadic,Diadic,Health & Wellness,Mental/Cognitive Health,Dementia / Veteran,Paro,"Investigating therapeutic potential of Paro as a mechanism of ""pet therapy""",USA,Veteran Affairs geropsychiatric long-term care facility,Rehabilitation Facility,58-97,Seniors,Elderly (above 65),Y,Y,Y,N,yes; tables provided,Y,none,N,yes; randomized behavioral prompts,Y,no,N,no,N,autonomous,Autonomous,Perceived relationship with the system increases,no,N,none,None,N,,not mentioned,"IRB approval was deemed ""not necessary"""
RR,Adaptive Social Robot for Sustaining Social Engagement during Long-term Children-Robot Interaction,https://www.researchgate.net/profile/Muneeb-Ahmad-10/publication/316354658_Adaptive_Social_Robot_for_Sustaining_Social_Engagement_during_Long-Term_Children-Robot_Interaction/links/5a5dcd2baca272d4a3dea938/Adaptive-Social-Robot-for-Sustaining-Social-Engagement-during-Long-Term-Children-Robot-Interaction.pdf,"Ahmad, M. I., Mubin, O., & Orlando, J. ",International Journal of Human Computer Interaction,2017,10 days,10,9 (3 sessions per interaction type),9,10 minutes,10,90,23,23,Diadic,Diadic,Education,General Purpose,Social skills development,NAO,Robot interaction depended on a coded snakes and ladders game to be played with the user,Australia,Library,School,10-12,Children,Children (3-12),Y,Y,Y,Y,yes; tables and charts provided,Y,"between-subjects, by robot adaptivity (i.e., game, emotions, memory)",Y,yes,Y,yes,Y,no,N,WoZ,WoZ,Showed the effect of three different robot adaptations on children social engagement during the long-term interaction,yes,Y,eye contact + gaze + vocalizations + surveys,Multiple,,,not mentioned,
RR,Working with a social robot in school: a long-term real-world unsupervised deployment.,https://dl.acm.org/doi/pdf/10.1145/3319502.3374803,"Davison, D. P., Wijnen, F. M., Charisi, V., van der Meij, J., Evers, V., & Reidsma, D. ",HRI,2020,6-7 weeks,35,11.5,6,6 (average),6,36,61,61,Group,Group,Education,General Purpose,Regular science education curriculum of the host school,Zeno,"Learning tasks curated to the curriculum of the host school, perception and reasoning models to detect unique users and determine gaze",UK,School,School,6-10,Children,Children (3-12),Y,Y,Y,N,yes,Y,"by class (three classes with varying ""holiday"" times / interaction gaps)",Y,yes,Y,yes,Y,yes,Y,autonomous,Autonomous,"A system paper that shows the feasibility of in-the-wild, autonomous, group interactions based on learning tasks",yes,Y,discussed qualitatively (by observation),Behavioral Observations,N,,not mentioned,
RR,Learning A Second Language with a Socially Assistive Robot,https://d1wqtxts1xzle7.cloudfront.net/39839697/ProceedingsNF2015-3-libre.pdf?1447097557=&response-content-disposition=inline%3B+filename%3DProceedings_of_New_Friends_2015_the_1st.pdf&Expires=1677606286&Signature=IF4f45on2rf0l-Incj-kdt2sndSvQdB0gSbWC5Mf5~-mn7aD3kaC7OHvHiKTgWq3JlqzD0x583rVarz0oMU-h3sfVDKiDFbsuudNn0XFZORPQUwAsZjXqzuQvVNXAcM8XKRvMs6d6SFdURhlPewGzSNjP8TiGKaAN-SMJ~jSqGFMQsHBh~~yNwNh41ileMhaScEaH6JhQybT14DGQaUZY~c0HOCU~0YriXmj2QMkcxwY-glV~tRCxZyi~2CIlGM-Bu~7ilVWIUM0CsANKHO-3Kgl-QUzZLbYpQlXCZV30SwtXGXNpBJiDJPMInpPK~45qk2447anI7hZO5yZh2xBZQ__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA#page=32,"Jacqueline Kory Westlunda*, Goren Gordona*, Samuel Spauldinga, Jin Joo Leea, Luke Plummera, Marayna Martinezb, Madhurima Dasb, & Cynthia Breazeal",International Conference on Social Robots in Therapy & Education,2015,2 months,60,8,8,10,10,80,34,34,Diadic,Diadic,Education,General Purpose,Language skill acquistion,Tega,"Language tasks with ""virtual sidekick"" a Toucan on a mobile screen",USA,School,School,3-5,Children,Children (3-12),N,N,N,N,yes,Y,special needs v. typically developing,Y,yes,Y,yes,Y,yes; affective modeling and performance ,Y,autonomous,Autonomous,,yes,Y,"teacher surveys, questions in learning tasks, compliance, ",Multiple,N,,not mentioned,
RR,Habit Detection within a Long-term Interaction with a Social Robot: an Exploratory Study,https://dl.acm.org/doi/pdf/10.1145/3005338.3005342?casa_token=HqsIEFOwmcwAAAAA:NYWA9-k422pkXLz8w1wbaBrgAHvojcrdMD-6xBJUWlu6K1RfNnvX3CcGN3Mo-FAs7vgOwJ_JZXyf,Claire Rivoire & Angelica Lim,Designing Artificial Agents (DAA),2016,8 weeks,56,daily use,daily use,daily use,daily use,daily use,10,10,Family,Family,Home Use,General Purpose,"Conversational, interactive",Pepper,Learning when to interact based on the schedules of people in its environment,UK,Home,Home,22-33,Adults,Adults (18+),Y,Y,Y,N,yes,Y,"by family type (with children, without children, single person)",Y,yes,Y,yes,Y,yes; habit and activity detection of family members,Y,autonomous,Autonomous,"No common pattern was found in the homes studied, shows decay in engagement",yes,Y,"duration of use, time of use, frequency of use","Time-Based (time to respond, length of interactions)",N,,not mentioned,
RR,A long-term engagement with a social robot for autism therapy.,https://www.frontiersin.org/articles/10.3389/frobt.2021.669972/full,"Rakhymbayeva, N., Amirova, A., & Sandygulova, A",Frontiers in Robotics & AI,2021,21 days,21,10,10,15,15,150,11,11,Triadic (with parent),Triadic,ASD,ASD,Social skills intervention,NAO,Robot activities (6) targeted various social skills,Kazakhstan,Children rehabilitation center,Rehabilitation Facility,4-11,Children,Children (3-12),Y,Y,N,N,yes; tables provided,Y,none,N,yes,Y,yes,Y,yes; performance,Y,autonomous,Autonomous,Engagement and learning outcomes increase,yes,Y,yes,,N,,not mentioned,similar to the 2018 SAR paper (Scaz)
RR,Acceptance and Long-Term Use of a Social Robot by Elderly Users in a Domestic Environment,https://ieeexplore.ieee.org/abstract/document/8431348,"Piasek, J., & Wieczorowska-Tobis, K. ",HSI,2018,10 weeks,70,daily use,daily use,daily use,daily use,daily use,10,10,Diadic,Diadic,Health & Wellness,Mental/Cognitive Health,Designed for a health-sensitive population to investigate user perception of the robot,Tiago,"Delivered various (6) activities via a tablet to engage users in problem solving, social skills.",Poland,Home,Home,65+,Elderly,Elderly (above 65),Y,N,N,N,no; individual stats for the 5 case studies are provided in a table,N,none,N,yes,Y,no,N,no,N,autonomous,Autonomous,"Feasibility study for designing a robot for elder-care to improve perceived social presence, animacy, and anthropomorphism",no,N,"no; measures are about the user's perception of the system (safety, intelligence, likability)",None,Y,,not mentioned,
RR,Personalized home-care support for the elderly: a field experience with a social robot at home,https://link.springer.com/article/10.1007/s11257-022-09333-y,"Di Napoli, C., Ercolano, G., & Rossi, S.",User Modeling and User-Adapted Interaction (UMAUI),2022,50-80 days,65,daily use,daily use,daily use,daily use,daily use,7,7,Diadic,Diadic,Home Use / Health & Wellness,Mental/Cognitive Health,"Designed for senior users with cognitive disorders (memory, dementia, alzheimers) to examine engagement with a home robot",Sanbot Elf,"Added sensors (infrared, touch, screen, cameras hd & 3d) to collect data for in-home models and decision making",Italy,Home,Home,60+,Elderly,Elderly (above 65),Y,Y,Y,Y,yes,Y,"case study of 5 individuals, compared between individuals (5 x 5)",N,yes,Y,yes,Y,"yes; several models included, listed on pg 13",Y,autonomous,Autonomous,"Feasibility study showing reliable functioning of the robot system, generally positive interactions and good acceptability from users.",yes,Y,yes; interviews and emotion classification throughout the study,Multiple,N,,not mentioned,
RR,"Integrating Social Assistive Robots, IoT, Virtual Communities and Smart Objects to Assist at-Home Independently Living Elders: the MoveCare Project",https://link.springer.com/article/10.1007/s12369-021-00843-0,"Matteo Luperto, Javier Monroy, Jennifer Renoux… in International Journal of Social Robotics ",IJSR,2022,14 days,14,daily use,daily use,daily use,daily use,daily use,25,13,Diadic,Diadic,Health & Wellness,Mental/Cognitive Health,"Elder care assistance, monitoring, and social skills stimulation",Giraff-X,Integration with the MoveCare platform (versus EnrichMe),"Italy, Spain",Home,Home,65+,Elderly,Elderly (above 65),Y,Y,N,N,no; averages and standard deviations are reported without statistical significance,N,interaction with MoveCare platform with and without the robot system,Y,yes,Y,no,N,yes; location and activity detection,Y,autonomous,Autonomous,Systems paper presenting the design of the in-home robot for elders,yes,Y,yes; indirectly with usability scale + wanting to use the system at home,Surveys/Self-Reported,N,,not mentioned,
RR,Adaptive Robotic Tutors that Support Self-Regulated Learning: A Longer-Term Investigation with Primary School Children,https://link.springer.com/content/pdf/10.1007/s12369-017-0458-z.pdf,Aidan Jones and Ginevra Castellano,IJSR,2018,1 month,30,4,4,up to 20 mins,20,80,24,24,Diadic,Diadic,Education,Education,Geography,NAO,,UK,school,School,10-12,Children,Children (3-12),N,Y,N,N,yes,Y,SLR (self regulated learning) vs not,Y,,,,,yes,Y,Autonomous,Autonomous,"Results show that, when a robotic tutor personalises and adaptively scaffolds SRL behaviour based upon an OLM, greater indication of SRL behaviour can be observed over the control condition where the robotic tutor only provides domain support and not SRL scaffolding",No,N,,None,,,,
RR,Empathic Robots for Long-term Interaction,https://link.springer.com/content/pdf/10.1007/s12369-014-0227-1.pdf,"Iolanda Leite, Ginevra Castellano, André Pereira, Carlos Martinho, Ana Paiva",IJSR,2014,5 weeks,35,5,5,up to 20 mins,20,100,16,16,Diadic,Diadic,Education,Education,Chess,iCat,,Portugal,school,School,3rd grade,Children,Children (3-12),Y,N,Y,N,yes,Y,no,N,,,,,modeled game state and affective state,Y,autonomous,Autonomous,the developed empathic model had a positive impact in long-term interaction between children,yes,Y,"Attentional allocation, questionnaire (Sidner et al. ) 

After 5 weeks, children’s ratings of engagement
were very similar to the ones provided in the first week",Multiple,,,,
RR,Domestic Robot Ecology; Robots in the wild: understanding long-term use,https://faculty.cc.gatech.edu/~hic/hic-papers/SORO_2010.pdf; https://dl.acm.org/doi/pdf/10.1145/1514095.1514106,"Sung J, Grinter RE, Christensen HI ",IJSR,2010,2.5 months,75,daily use,daily use,daily in the home,unknown,unknown,"30 homes, 48 participants",48,Family,Family,Home Use,General Purpose,Cleaning robot to investigate system adoption in long-term use,Roomba,N/A,USA,Home,Home,18-67,Adults,Adults (18+),Y,Y,Y,N,yes,Y,none,N,no,N,no,N,no,N,autonomous,Autonomous,"Prior to interacting with the robot, participants saw the robot as a tool. After the study, users exhibited social responses toward the robot.",yes,N,"see ""Main Results""",None,N,,not mentioned,
RR,"Keepon: A Playful Robot for Research, Therapy, and Entertainment",https://link.springer.com/content/pdf/10.1007/s12369-008-0009-8.pdf,"Hideki Kozima, Marek P. Michalowski, Cocoro Nakagawa",IJSR,2009,unknown,unknown,20,20,90 minutes (free play; not robot-directed interaction),90,1800,"27 (no individual statistics reported, only group average)",27,Group,Group,General HRI / Education / Emotion Development,General Purpose,Affect recognition + influence,Keepon,Design of attentive and emotive actions the robot can take,Japan,School,School,3-4,Children,Children (3-12),Y,N,N,N,no,N,none,N,yes; affective actions are influenced by objects in the robot's environment,Y,no,N,no,N,WoZ,WoZ,"Children's reactions to Keepon's affective and emotive actions were positive in that they expressed that Keepon had a ""mind"".",no,N,none,None,N,,not mentioned,
RR,"Keepon: A Playful Robot for Research, Therapy, and Entertainment",https://link.springer.com/content/pdf/10.1007/s12369-008-0009-8.pdf,"Hideki Kozima, Marek P. Michalowski, Cocoro Nakagawa",IJSR,2009,unknown,unknown,unknown,unknown,10-15,15,unknown,25,25,Diadic,Diadic,General HRI / Education / Emotion Development,General Purpose,Affect recognition + influence,Keepon,Design of attentive and emotive actions the robot can take,Japan,Lab,Lab,"0-1, 1-2, 2+",Children,Children (3-12),Y,Y,Y,N,no,N,"by age (0-1, 1-2, 2+)",Y,yes; affective actions are influenced by objects in the robot's environment,Y,no,N,no,N,WoZ,WoZ,There are differences between the interactions of each age group and their understanding of the Keepon,no,N,none,None,N,,not mentioned,"A repeated interaction with the same users. However, the length of the study per user and the average session length were not reported in the paper"
RR,"Keepon: A Playful Robot for Research, Therapy, and Entertainment",https://link.springer.com/content/pdf/10.1007/s12369-008-0009-8.pdf,"Hideki Kozima, Marek P. Michalowski, Cocoro Nakagawa",IJSR,2009,5 months,150,15,15,3 hours,180,2700,300 (averages not reported),2,Mixed / Family,Mixed,General HRI / Education / Emotion Development,General Purpose,Affect recognition + influence,Keepon,Design of attentive and emotive actions the robot can take,Japan,School,School,0-2,Children,Children (3-12),Y,N,N,N,no,N,none; 2 case studies are reported,N,yes; affective actions are influenced by objects in the robot's environment,Y,no,N,no,N,WoZ,WoZ,"Children with disabilities (PDD, ASD, ID) interact with the system in various ways",no,N,"a case study expresses violent tendencies towards the robot; another case study expresses more appropriate social behavior (e.g., gaze) with the robot than expected",None,N,,not mentioned,"States that 300 children participated in the study, but no averages or holistic statistics are reported. Only two case studies are described."
RR,"Integrating Social Assistive Robots, IoT, Virtual Communities and Smart Objects to Assist at-Home Independently Living Elders: the MoveCare Project",https://link.springer.com/article/10.1007/s12369-021-00843-0,"Matteo Luperto, Javier Monroy, Jennifer Renoux, Francesca Lunardini, Nicola Basilico, Maria Bulgheroni, Angelo Cangelosi, Matteo Cesari, Manuel Cid, Aladar Ianes, Javier Gonzalez-Jimenez, Anastasis Kounoudes, David Mari, Victor Prisacariu, Arso Savanovic, Simona Ferrante & N. Alberto Borghese",IJSR,2022,10 weeks,70,daily use,daily use,daily use,daily use,daily use,25,25,Diadic,Diadic,General HRI / Health & Wellness,General Purpose,"Conversational, interactive",Giraff-X,Engaged the users in various conversational prompts,Italy,Home / Care facility,Care Home,65+,Elderly,Elderly (above 65),Y,N,N,N,yes,Y,by living situation (alone or in a living facility),Y,yes; random prompt selected each interaction,Y,no,N,no,N,autonomous,Autonomous,"Positive interactions, attitudes and perceptions of the social robot.",yes,Y,"yes; the main evaluation was on the likability of the system and expected use in the long term; used questionnaires and surveys. No behavioral metrics describing ""engagement"" were reported. ",Surveys/Self-Reported,N,,not mentioned,
RR,“It’s Important to Think of Pepper as a Teaching Aid or Resource External to the Classroom”: A Social Robot in a School for Autistic Children,https://link.springer.com/article/10.1007/s12369-022-00928-4,"Séverin Lemaignan, Nigel Newbutt, Louis Rice & Joe Daly ",IJSR,2022,3 weeks,21,daily use,daily use,daily use,daily use,daily use,30,30,Diadic in a group setting,Mixed,ASD / Education,ASD,Conversational robot used to faciliate classroom teaching material,Pepper,User-initated interactions; engaged users in various conversational prompts,UK,School (special-education school for children with ASD),School,12-16,Children,Children (3-12),Y,Y,N,N,yes,Y,none,N,yes,Y,no,N,no,N,autonomous,Autonomous,"Positive interactions, attitudes and perceptions of the social robot by teachers, classroom assistants (based on questionnaires), and students (based on behavior)",yes,Y,"yes; questionnaires collected from each student, teachers and classroom assistants to measure how well children interacted with the robot and whether they liked the robot as a classroom tool. ",Surveys/Self-Reported,N,,not mentioned,"The robot was designed to facilitate classroom learning. Resulted in 330 interactions, 16 hours of continous use over 3 weeks / 13 days (first day discarded for novelty effect). The robot was available to interact with for the full school day except during a 30 minute classroom break. Robot was actively used 100+ minutes/day, but stabilized on day 7 to 45-50 minute play sessions."
RR,ENRICHME: Perception and Interaction of an Assistive Robot for the Elderly at Home,https://link.springer.com/article/10.1007/s12369-019-00614-y,"Serhan Coşar, Manuel Fernandez-Carmona, Roxana Agrigoroaie, Jordi Pages, François Ferland, Feng Zhao, Shigang Yue, Nicola Bellotto & Adriana Tapus ",IJSR,2020,10 weeks,70,daily use,daily use,daily use,daily use,daily use,15,15,Diadic,Diadic,Health & Wellness,Mental/Cognitive Health,Engaged the user daily in various social activities that target improving mental and cognitive health,Tiago,The interaction included ehavioral variation and modeling using the ENRICHME architecture,UK,Home / Care facility,Home,70-90,Elderly,Elderly (above 65),Y,Y,N,N,yes,Y,none,N,yes,Y,yes,Y,yes,Y,autonomous,Autonomous,"Results seem focused on the performance, robustness, and reliability of the robot in the home; the results support that the ENRICHME architecture is an effective platform for these kinds of interactions. ",yes,Y,yes; engagement measured by frequency of user-initated interction and qualitative feedback from participants,"Time-Based (time to respond, length of interactions)",N,,not mentioned,
RR,Assessing the Impact of an Original Soft Communicative Robot in a Nursing Home in Japan: Will Softness or Conversations Bring more Smiles to Older People? ,https://link.springer.com/article/10.1007/s12369-021-00815-4,"Kazuko Obayashi, Naonori Kodate & Shigeru Masuyama ",IJSR,2022,6 months,180,daily use,daily use,daily use,daily use,daily use,30 users + 4 staff members,34,Diadic in a group setting,Group,Health & Wellness,Mental/Cognitive Health,Designed for a special nursing home for seniors with dementia,Mon-chan,A conversational robot for encouraging appropriate social interactions (human-to-human) as a result of interacting with the robot,Japan,Care facility,Care Home,80+,Elderly,Elderly (above 65),Y,Y,N,N,yes,Y,pre and post intervention,N,yes,Y,no,N,no,N,autonomous,Autonomous,Slight improvement in encouraging more appropriate behaviors post-intervention,yes,Y,"yes; measured by ""intervention""-like results (more appropriate social behaviors), time of interactions, and emotional changes; qualitative measures using standardized questionnaires (e.g., Mini-Mental State Exam for dementia) were performed",,N,,not mentioned,
RR,Ethical Considerations from Child-Robot Interactions in Under-Resourced Communities,https://link.springer.com/article/10.1007/s12369-022-00882-1,"Divyanshu Kumar Singh, Manohar Kumar, Eduard Fosch-Villaronga, Deepa Singh & Jainendra Shukla ",IJSR,2022,5 weeks,35,30,30,2 hours,120,3600,12,12,Triadic (children were paired up; N = 6),Triadic,Education,Education,Conversational robot used to faciliate classroom teaching material,Cozmo,"A conversational robot to evaluate perceptions and attitudes of the robot in a ""under-resourced"" community",India,Classroom,School,5,Children,Children (3-12),Y,Y,N,N,yes,Y,none,N,yes,Y,no,N,no,N,WoZ,WoZ,"The main results of the paper focused on how to improve the system, listing its failures.",yes,Y,"yes; qualitative and observer (the teacher) assessments of psychological safety, trust, and context relevance",,N,,not mentioned,Cozmo robot (only available option that the research group could afford due to lack of university resources); Found language of the Cozmo robot (English) to be a barrier of understanding for the users. 
RR,"Field Testing of Ro-Tri, a Robot-Mediated Triadic Interaction for Older Adults | SpringerLink",https://link.springer.com/article/10.1007/s12369-021-00760-2,"Jing Fan, Akshith Ullal, Linda Beuscher, Lorraine C. Mion, Paul Newhouse & Nilanjan Sarkar ",IJSR,2021,3 weeks,21,21,21,dailly use,30,630,15,15,Diadic,Diadic,Health & Wellness,Mental/Cognitive Health,Targeted health and wellness intervention via tasks with various cogntive demands,NAO,Implemented the Ro-Tri architecture with a Nao robot + EEG measures to estimate older adults' engagement with various cognitive tasks,USA,Senior living facilities,Care Home,80+,Elderly,Elderly (above 65),Y,Y,Y,Y,yes,Y,none,N,yes,Y,yes,Y,yes,Y,WoZ,WoZ,"Activity engagement was determined in-field using an ""engagement classifier""; the Ro-Tri architecture was considered an effective tool for conducting such HRIs",yes,Y,"yes; gathered quantitative interaction data, head pose, vocal sound, and physiological signals to automatically evaluate user activity and social engagement with the system. Questionnaires were also employed to determine the attitudes and perceptions toward the robot system. ","Model from Sensors (CV, audio, etc.)",N,,not mentioned,
RR,"Modeling engagement in long-term, in-home socially assistive robot interventions for children with autism spectrum disorders",https://www.science.org/doi/10.1126/scirobotics.aaz3791,"Shomik Jain*, Balasubramanian Thiagarajan, Zhonghao Shi, Caitlyn Clabaugh, Maja J. Matarić*",Science Robotics ,2020,1 month,30,daily use,daily use,6 minutes,6,6,7,7,Diadic,Diadic,Education,ASD,ASD academic learning,Kiwi,Robot provided verbal and expressive feedback according to space-themed math games shown on a touchscreen tablet,USA,Home,Home,3-7,Children,Children (3-12),Y,Y,Y,N,yes,Y,yes; engagement as measured by a general model versus that by a individualized model,Y,yes,Y,yes; game levels were calibrated according to each user's learning patterns with reinforcement learning,Y,yes,Y,autonomous,Autonomous,"Applies supervised ML algorithm to model user engagement for in-home, long-term SAR interventions for children with ASD (Stewart platform robot named Kiwi provided verbal and expressive feedback, space-themed math games on a touchscreen tablet, game levels were personalized to each user's learning patterns with reinforcement learning over a month / 30 day intervention). 3 hrs of data collected for each participant (N = 7; 21 hrs total, 10 minutes/day, daily intervention). The study applies to types of engagement models: (1) a generalized model train on data from different users (N = unknown), and (2) individualized models trained on an early subset of each participant's data. The models performed well (90% acuracy). High variance in engagement observed across users, sessions, and engagement states. ",yes,Y,yes; examines difference between two models of engagement to determine which is best for post-hoc and real-time analysis of engagement for robot-assisted interventions for children with ASD.,,N,,not mentioned,
RR,Reading socially: Transforming the in-home reading experience with a learning-companion robot,https://www.science.org/doi/10.1126/scirobotics.aat5999,Joseph E. Michaelis* and Bilge Mutlu,Science Robotics ,2018,2 weeks,14,daily use,daily use,daily use,daily use,daily use,24,24,Diadic,Diadic,Education,Education,Guided reading task,Maki,Led a guided reading activity with books with RFID tags; incorporated several instructional strategies,UK,Home,Home,10-12,Children,Children (3-12),Y,Y,Y,N,yes,Y,yes; compared experience of children with the robot versus experience of children without the robot,Y,yes,Y,no,N,no,N,autonomous,Autonomous,"Demonstrated that the interaction with the robot improved learning outcomes, motivation to read, spontaneous engagement with the system/activity",yes,Y,"yes; measured continued use of the system, how well children met their ""reading goal"" per day, compared situational interest at the beginning of the study to the end of the study, motivatin, and general affect towards reading. ",,N,,not mentioned,"The authors list the design guidelines of the robot in Table 1 (e.g., eye contact, references to previous interactions, incorporating real-world experiences, etc.). "
